fold,model,target,tuned,best_params,auc,n_train,n_test
stress_2024,lasso,cocoa_var_breach,True,{'clf__C': 1.0},0.5594850065189049,2220,262
stress_2024,elastic_net,cocoa_var_breach,True,{'clf__C': 1.0},0.5738265971316818,2220,262
stress_2024,random_forest,cocoa_var_breach,True,{'min_samples_leaf': 50},0.5174380704041721,2220,262
stress_2024,xgboost,cocoa_var_breach,True,"{'max_depth': 2, 'min_child_weight': 3}",0.5171121251629727,2220,262
stress_2024,svm,cocoa_var_breach,True,"{'clf__C': 2.0, 'clf__gamma': 'scale'}",0.5195567144719687,2220,262
stress_2024,mlp,cocoa_var_breach,True,"{'clf__hidden_layer_sizes': (16,), 'clf__alpha': 0.5}",0.49674054758800523,2220,262
fold1,base_rate,cedi_depreciation,,,0.5,1153,346
fold1,garch_t,cedi_depreciation,,,0.8184423676012461,1153,346
fold1,var,cedi_depreciation,,,0.7449221183800623,1153,346
fold1,markov_switching,cedi_depreciation,,,0.8103426791277258,1153,346
fold1,logistic,cedi_depreciation,False,{'clf__C': 1.0},0.5282242990654206,1153,346
fold1,lasso,cedi_depreciation,False,{'clf__C': 0.1},0.2712772585669782,1153,346
fold1,elastic_net,cedi_depreciation,False,{'clf__C': 0.1},0.3261059190031153,1153,346
fold1,random_forest,cedi_depreciation,False,{'min_samples_leaf': 25},0.7698442367601247,1153,346
fold1,xgboost,cedi_depreciation,False,"{'max_depth': 3, 'min_child_weight': 3}",0.6254205607476635,1153,346
fold1,svm,cedi_depreciation,False,"{'clf__C': 2.0, 'clf__gamma': 'scale'}",0.5855451713395639,1153,346
fold1,mlp,cedi_depreciation,False,"{'clf__hidden_layer_sizes': (16,), 'clf__alpha': 0.5}",0.07987538940809971,1153,346
fold2,base_rate,cedi_depreciation,,,0.5,1499,346
fold2,garch_t,cedi_depreciation,,,0.5227326601242118,1499,346
fold2,var,cedi_depreciation,,,0.5159057507229886,1499,346
fold2,markov_switching,cedi_depreciation,,,0.6563314843787038,1499,346
fold2,logistic,cedi_depreciation,True,{'clf__C': 10.0},0.29365192243872373,1499,346
fold2,lasso,cedi_depreciation,True,{'clf__C': 0.01},0.35300810695491397,1499,346
fold2,elastic_net,cedi_depreciation,True,{'clf__C': 0.01},0.3410136064097094,1499,346
fold2,random_forest,cedi_depreciation,True,{'min_samples_leaf': 50},0.6234295737922534,1499,346
fold2,xgboost,cedi_depreciation,True,"{'max_depth': 2, 'min_child_weight': 3}",0.5827051628502347,1499,346
fold2,svm,cedi_depreciation,True,"{'clf__C': 0.5, 'clf__gamma': 'scale'}",0.4448869293130422,1499,346
fold2,mlp,cedi_depreciation,True,"{'clf__hidden_layer_sizes': (16,), 'clf__alpha': 0.5}",0.5416488882567677,1499,346
fold3,base_rate,cedi_depreciation,,,0.5,1845,346
fold3,garch_t,cedi_depreciation,,,0.3124213379804434,1845,346
fold3,var,cedi_depreciation,,,0.2560751282796011,1845,346
fold3,markov_switching,cedi_depreciation,,,0.15877626101268272,1845,346
fold3,logistic,cedi_depreciation,True,{'clf__C': 10.0},0.56510794849453,1845,346
