,fold1,fold2,fold3,fold4,fold5
fold1,1.0,-0.026,0.067,0.154,0.297
fold2,-0.026,1.0,0.193,0.211,0.072
fold3,0.067,0.193,1.0,0.124,-0.013
fold4,0.154,0.211,0.124,1.0,0.341
fold5,0.297,0.072,-0.013,0.341,1.0
