,cocoa
const,0.01091449672585939
L1.cocoa,-0.01557082630523662
L1.gold,0.051959926032658456
L1.brent,0.026516813761201786
L1.wti,-0.011813524255364211
L1.cedi,0.04335336309964158
L2.cocoa,0.03309807957427915
L2.gold,0.00803118090386146
L2.brent,0.003549502930662321
L2.wti,-0.005764223583149683
L2.cedi,-0.006849115221092429
