,fold1,fold2,fold3,fold4,fold5
fold1,1.0,-0.191,-0.064,0.032,-0.209
fold2,-0.191,1.0,0.003,0.119,-0.028
fold3,-0.064,0.003,1.0,-0.012,0.221
fold4,0.032,0.119,-0.012,1.0,-0.177
fold5,-0.209,-0.028,0.221,-0.177,1.0
